epoch_count,regression_error,classification_error
267,0.155436,0.394737
268,0.154458,0.315789
269,0.159042,0.421053
270,0.164185,0.421053
271,0.162211,0.421053
272,0.167926,0.421053
273,0.174357,0.421053
274,0.164964,0.421053
275,0.162806,0.421053
276,0.154221,0.394737
277,0.148577,0
278,0.144225,0.210526
279,0.140826,0.263158
280,0.144171,0.210526
281,0.148726,0
282,0.144151,0.210526
283,0.143138,0.236842
284,0.146985,0.0263158
285,0.142943,0.236842
286,0.139783,0.263158
287,0.142764,0.236842
288,0.146525,0.131579
289,0.142121,0.236842
290,0.139587,0.263158
291,0.143019,0.236842
292,0.141636,0.236842
293,0.145996,0.105263
294,0.144593,0.131579
295,0.149637,0.0789474
296,0.148067,0.0526316
297,0.143323,0.157895
298,0.148381,0.0526316
299,0.142497,0.184211
300,0.138955,0.263158
301,0.142049,0.184211
302,0.145807,0.0263158
303,0.151524,0.263158
304,0.149344,0.105263
305,0.154717,0.421053
306,0.161669,0.421053
307,0.153048,0.394737
308,0.159129,0.421053
309,0.165491,0.421053
310,0.172469,0.421053
311,0.16252,0.421053
312,0.159171,0.421053
313,0.150594,0.210526
314,0.157044,0.421053
315,0.163287,0.421053
316,0.159899,0.421053
317,0.151737,0.394737
318,0.149491,0.315789
319,0.14781,0.157895
320,0.142396,0.0789474
321,0.14115,0.131579
322,0.140202,0.131579
323,0.139519,0.157895
324,0.144112,0.0526316
325,0.139207,0.157895
326,0.135722,0.236842
327,0.13326,0.263158
328,0.136324,0.236842
329,0.135611,0.236842
330,0.133041,0.263158
331,0.135118,0.236842
332,0.134505,0.236842
333,0.132282,0.263158
334,0.130877,0.263158
335,0.130277,0.263158
336,0.129741,0.263158
337,0.130926,0.263158
338,0.132771,0.263158
339,0.135897,0.236842
340,0.140263,0.0263158
341,0.145167,0.105263
342,0.14367,0.0789474
343,0.14845,0.394737
344,0.142278,0.0263158
345,0.147596,0.368421
346,0.141068,0
347,0.147088,0.315789
348,0.152813,0.421053
349,0.159105,0.421053
350,0.15042,0.394737
351,0.143319,0.0526316
352,0.138064,0.157895
353,0.134837,0.236842
354,0.138496,0.157895
355,0.136865,0.184211
356,0.14097,0
357,0.136509,0.184211
358,0.133142,0.263158
359,0.131339,0.263158
360,0.130222,0.263158
361,0.132802,0.236842
362,0.136704,0.157895
363,0.135337,0.184211
364,0.1343,0.184211
365,0.131146,0.263158
366,0.130366,0.263158
367,0.128646,0.263158
368,0.127625,0.263158
369,0.127082,0.263158
370,0.128741,0.263158
371,0.130833,0.236842
372,0.134364,0.184211
373,0.139036,0
374,0.134355,0.184211
375,0.138285,0
376,0.142938,0.131579
377,0.149089,0.394737
378,0.154858,0.421053
379,0.160639,0.421053
380,0.151404,0.421053
381,0.158268,0.421053
382,0.164884,0.421053
383,0.154365,0.421053
384,0.145598,0.184211
385,0.139192,0.0263158
386,0.145107,0.131579
387,0.150796,0.394737
388,0.157541,0.421053
389,0.149651,0.368421
390,0.146532,0.315789
391,0.152302,0.421053
392,0.158425,0.421053
393,0.150143,0.394737
394,0.142676,0.0526316
395,0.140111,0.0263158
396,0.14621,0.315789
397,0.143771,0.210526
398,0.141586,0.131579
399,0.139903,0.0789474
400,0.13457,0.0789474
401,0.130669,0.184211
402,0.134118,0.105263
403,0.138089,0.0526316
404,0.132795,0.157895
405,0.129284,0.236842
406,0.12824,0.236842
407,0.131731,0.157895
408,0.128553,0.236842
409,0.131808,0.157895
410,0.128542,0.236842
411,0.131854,0.157895
412,0.136668,0
413,0.134895,0.0263158
414,0.140211,0.131579
415,0.144903,0.342105
416,0.137389,0.0526316
417,0.131953,0.157895
418,0.130674,0.157895
419,0.135008,0
420,0.130026,0.184211
421,0.128845,0.184211
422,0.133261,0.0526316
423,0.137816,0.0526316
424,0.136107,0.0526316
425,0.141581,0.289474
426,0.13552,0.0263158
427,0.130109,0.157895
428,0.13447,0.0263158
429,0.132925,0.0263158
430,0.131664,0.0526316
431,0.127339,0.184211
432,0.131734,0.0526316
433,0.127453,0.184211
434,0.126586,0.184211
435,0.124106,0.236842
436,0.127513,0.184211
437,0.130438,0.131579
438,0.134834,0.0526316
439,0.133298,0.0263158
440,0.139379,0.184211
441,0.132783,0.0263158
442,0.137285,0.131579
443,0.142777,0.342105
444,0.148141,0.421053
445,0.145587,0.421053
446,0.137909,0.131579
447,0.14215,0.342105
448,0.148808,0.421053
449,0.154924,0.421053
450,0.161121,0.421053
451,0.157668,0.421053
452,0.154539,0.421053
453,0.143608,0.394737
454,0.141427,0.342105
455,0.134914,0.0526316
456,0.140488,0.342105
457,0.138599,0.289474
458,0.13244,0.0263158
459,0.131268,0.0263158
460,0.136529,0.157895
461,0.142653,0.421053
462,0.148834,0.421053
463,0.138944,0.289474
464,0.132732,0.0526316
465,0.128049,0.131579
466,0.124687,0.210526
467,0.12817,0.131579
468,0.132658,0.0263158
469,0.1311,0.0263158
470,0.135613,0.131579
471,0.140298,0.342105
472,0.13323,0.0526316
473,0.138703,0.210526
474,0.136545,0.157895
475,0.134776,0.131579
476,0.133177,0.0526316
477,0.138776,0.342105
478,0.13715,0.289474
479,0.135725,0.184211
